class,occurrences,candidate_group,page_only_candidate
.td-h4,2,h4,review
.td-h5,2,h5,review
.td-h6,2,h6,review
.td-hbar,1,hbar,review
.td-hbar-fill,1,hbar-fill,review
.td-hbar-name,1,hbar-name,review
.td-hbar-track,1,hbar-track,review
.td-hbar-val,1,hbar-val,review
.td-heatmap,2,heatmap,review
.td-heatmap-cell,6,heatmap-cell,review
.td-heatmap-legend,1,heatmap-legend,review
.td-heatmap-legend-cells,1,heatmap-legend,review
.td-helper,1,helper,review
.td-helper--error,1,helper-,review
.td-helper--success,1,helper-,review
.td-hero-actions,6,hero-actions,yes
.td-hero-visual,1,hero-visual,yes
.td-hint-chip,1,hint-chip,review
.td-hr,1,hr,review
.td-icon,1,icon,review
.td-icon--1,2,icon-,review
.td-icon--2,2,icon-,review
.td-icon--3,1,icon-,review
.td-icon--4,1,icon-,review
.td-icon--5,1,icon-,review
.td-icon-moon,4,icon-moon,review
.td-icon-sun,5,icon-sun,review
.td-iconbtn,17,iconbtn,review
.td-iconbtn--sm,3,iconbtn-,review
.td-iepacc,1,iepacc,review
.td-iepacc-item,2,iepacc-item,review
.td-iepacc-list,1,iepacc-list,review
.td-iepacc-title,1,iepacc-title,review
.td-iepbeh,1,iepbeh,review
.td-iepbeh-head,1,iepbeh-head,review
.td-iepbeh-meta,1,iepbeh-meta,review
.td-iepbeh-tag,1,iepbeh-tag,review
.td-iepbeh-tag--antecedent,1,iepbeh-tag,review
.td-iepbeh-tag--behavior,1,iepbeh-tag,review
.td-iepbeh-tag--consequence,1,iepbeh-tag,review
.td-iepbeh-text,1,iepbeh-text,review
.td-iepbeh-time,1,iepbeh-time,review
.td-iepcompl,1,iepcompl,review
.td-iepcompl-bar,1,iepcompl-bar,review
.td-iepcompl-bar-fill,1,iepcompl-bar,review
.td-iepcompl-bar-fill--due,1,iepcompl-bar,review
.td-iepcompl-bar-fill--ok,1,iepcompl-bar,review
.td-iepcompl-bar-fill--warn,1,iepcompl-bar,review
.td-iepcompl-head,1,iepcompl-head,review
.td-iepcompl-pill,1,iepcompl-pill,review
.td-iepcompl-pill--due,1,iepcompl-pill,review
.td-iepcompl-pill--ok,1,iepcompl-pill,review
.td-iepcompl-pill--warn,1,iepcompl-pill,review
.td-iepcompl-title,1,iepcompl-title,review
.td-iepdoc,1,iepdoc,review
.td-iepdoc-icon,1,iepdoc-icon,review
.td-iepdoc-icon--accent,1,iepdoc-icon,review
.td-iepdoc-icon--ink,1,iepdoc-icon,review
.td-iepdoc-info,1,iepdoc-info,review
